Title,Location,Services,Office type,Counter type,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Agency,Facilities,Description,Operating hours
"Upper Ross Community Centre","North Queensland","","",JPs in the Community,"1/43 Allambie Lane","","RASMUSSEN","4815","","","","",-19.354491,146.732254,(07) 4774 0144,,,,,,,9:00-11:00,,,,,,,,,,"",,"","Wednesdays, 9am - 11am","Wednesday, 9am - 11am"
"USQ Ipswich","Ipswich","","",JP in the community program,"H block atrium, outside of library, USQ Ipswich campus","11 Salisbury Road","IPSWICH","4305","","","","",-27.6281122,152.7555553,,,,,,,,,12:00-14:00,,,,,,,,,"",DJAG,"","Volunteer JPs and Cdecs","Wednesday, 12pm-2pm"
"USQ Springfield","Ipswich","","",JPs in the Community Program,"Block B, Atrium outside student services","Education City Sinnathamby Blvd","SPRINGFIELD CENTRAL","4300","","","","",-27.6836724,152.9076663,,,,,,,,,12:00-14:00,,,,,,,,,"",,"","Volunteer Justice of Peace or Commissioner of Declaration","Wednesday, 12pm-2pm"
"Victoria Point Shopping Centre","Brisbane - East","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Outside the post office","2-34 Bunker Road","VICTORIA POINT WEST","4165","","","","",-27.585763,153.28192,(07) 3820 8100,,,10:00-12:00,,10:00-12:00,,10:00-12:00,,10:00-12:00,16:30-18:30,10:00-12:00,,09:30,12:30,,,"",DJAG,"","","Monday to Friday, 10am - 12pm, Thursday 4:30pm - 6:30pm and Saturday, 9:30am - 12:30pm"
"Wesley Hospital","Brisbane City","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"451 Coronation Drive","","AUCHENFLOWER","4066","","","","",-27.478147,152.9979491,3232 7000,,,,,,,10:00,14:00,,,,,,,,,"",DJAG,"","","Wednesday, 10am-2pm"
"Westfield Carindale","Brisbane - East","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Carindale Library","Cnr Creek and Old Cleveland Roads","CARINDALE","4152","","","","",-27.5036888,153.1032255,(07) 3120 5400,,,10:00-12:00,12:00-14:00,,,10:00-12:00,12:00-14:00,,18:00-19:30,10:00-12:00,12:00-14:00,10:00-12:00,,,,"",DJAG,"","","Monday, Wednesday and Friday, 10am - 2pm, Thursday, 6pm - 7:30pm and Saturday, 10am - 12pm"
"Westfield Garden City - Mount Gravatt","Brisbane - South","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Inside library","Cnr Logan & Kessels Roads","MOUNT GRAVATT","4122","","","","",-27.560387,153.080986,(07) 3403 7745,,,11:00,14:00,11:00,14:00,11:00,14:00,,17:30-19:30,,,10:00-12:00,,,,"",DJAG,"","","Monday to Wednesday, 11am - 2pm, Thursday, 5:30pm - 7:30pm and Saturday, 10am - 12pm"
"Westfield Helensvale","Gold Coast","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Level 2, turn right at Centre Management","29 Millaroo Drive","HELENSVALE","4212","","","","",-27.9247078,153.3391768,(07) 5519 4400,,,,,10:00,14:00,,,10:00,14:00,,,,,,,"",DJAG,"","","Tuesday and Thursday, 10am - 2pm"
"Westfield North Lakes","Brisbane - North","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Near Terry White Chemists","Westfield North Lakes, 1 North Lakes Drive","MANGO HILL","4509","","","","",-27.241992,153.017815,(07) 3491 9072,,,10:30,14:30,10:30,14:30,10:30,14:30,10:30-14:30,18:30-20:30,10:30,14:30,09:30-12:00,,,,"",DJAG,"","","Monday - Friday, 10:30am - 2:30pm, Thursday, 6:30pm - 8:30pm and Saturday, 9:30am - 12pm"
"Willows Shopping Centre","North Queensland","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Target Mall behind Customer Service Desk","Thuringowa Drive","KIRWAN","4817","","","","",-19.302416,146.735157,(07) 4799 9100,,,,,,,09:00,15:00,,,,,09:00,13:00,,,"",DJAG,"","","Wednesday, 9am - 3pm and Saturday, 9am - 1pm"
"Wilsonton Shopping Centre - Toowoomba","Toowoomba","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"North Mall near Nextra Newsagency","407 Bridge Street","TOOWOOMBA","4350","","","","",-27.5434,151.924308,(07) 4634 1134,,,,,,13:00-15:00,,,,,,,,,,,"",DJAG,"","","Tuesday, 1pm - 3pm"
"Wynnum Courthouse","Brisbane - East","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Main registry","Pine Street","WYNNUM","4178","","","","",-27.4470302,153.1760286,(07) 3362 9090,,,10:00,13:00,10:00,13:00,10:00,13:00,,,10:00,16:00,,,,,"",DJAG,"","","Monday - Wednesday, 10am - 1pm and Friday, 10am - 4pm"
"Wynnum Library","Brisbane - East","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"145 Florence Street","Above Woolworths","WYNNUM","4178","","","","",-27.4450973,153.1714805,3403 2199,,,,,,,,,,17:45-19:45,,,10:00-12:00,,,,"",DJAG,"","","Thursday, 5:45pm-7:45pm and Saturday, 10am-12pm"
"Wynnum Plaza","Brisbane - East","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Information desk","2021 Wynnum Road","WYNNUM WEST","4178","","","","",-27.4555569,153.1542216,(07) 3396 0000,,,,,,,,,,18:00-20:00,,,10:00-12:00,,,,"",DJAG,"","","Thursday, 6pm-8pm and Saturday, 10am-12pm"
"Yarrabilba Community Hub","Brisbane - South","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Exchange building, corner Shaw Street and Wongawallan Drive","","YARRABILBA","4207","","","","",-27.8019272,153.1053346,(07) 3412 8222,,,,,,,,,,12:00-14:00,,,,,,,"",DJAG,"","","Thursday, 12pm -2pm"
"Yeppoon Central Shopping Centre","Central Queensland","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Centre management office","42 Park Street","YEPPOON","4703","","","","",-23.13275,150.73761,(07) 4930 2911,,,,,11:00,13:00,,,11:00,13:00,11:00,13:00,10:00-12:00,,,,"",DJAG,"","","Tuesday, Thursday & Friday, 11am-1pm and Saturday, 10am-12pm"
"Yeppoon Courthouse","Central Queensland","Volunteer Justice of the Peace or Commissioner for Declarations","Service",JP in the community program,"Ground floor registry","Normanby Street","YEPPOON","4703","","","","",-23.1278884,150.7453662,(07) 4939 3089,,,11:00,15:00,11:00,15:00,11:00,15:00,,,11:00,15:00,,,,,"",DJAG,"","","Monday - Wednesday & Friday, 11am - 3pm"

